NUMN =   1024 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =    547.44 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   721 =  35.21% , Elapsed time =    171.81 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   233 =  11.38% , Elapsed time =    156.91 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   728 =  35.55% , Elapsed time =    148.30 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =  1034 =  50.49% , Elapsed time =    280.81 microseconds
NUMN =   2048 , USE_MUTEX = false , NumPopErrors =   463 =  22.61% , Elapsed time =    215.33 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   1297.98 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   1142.01 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   1180.16 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   1181.17 microseconds
NUMN =   4096 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   1125.73 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =   892 =  21.78% , Elapsed time =    351.99 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1437 =  35.08% , Elapsed time =    524.92 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1259 =  30.74% , Elapsed time =    411.14 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1235 =  30.15% , Elapsed time =    373.85 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1315 =  32.10% , Elapsed time =    259.72 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1721 =  42.02% , Elapsed time =    431.92 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1321 =  32.25% , Elapsed time =    213.43 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1675 =  40.89% , Elapsed time =    449.98 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1321 =  32.25% , Elapsed time =    268.27 microseconds
NUMN =   4096 , USE_MUTEX = false , NumPopErrors =  1182 =  28.86% , Elapsed time =    265.69 microseconds
NUMN =   8192 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   1845.99 microseconds
NUMN =   8192 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   2617.62 microseconds
NUMN =   8192 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   1380.22 microseconds
NUMN =   8192 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   2097.89 microseconds
NUMN =   8192 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   1156.30 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  6049 =  73.84% , Elapsed time = 1330286.03 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  3940 =  48.10% , Elapsed time =    683.46 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2993 =  36.54% , Elapsed time =    716.45 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  4417 =  53.92% , Elapsed time =    537.99 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2382 =  29.08% , Elapsed time =    743.29 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  4900 =  59.81% , Elapsed time =    494.21 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  3541 =  43.23% , Elapsed time = 325492.98 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  4475 =  54.63% , Elapsed time =    780.22 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  4712 =  57.52% , Elapsed time =    760.71 microseconds
NUMN =   8192 , USE_MUTEX = false , NumPopErrors =  2646 =  32.30% , Elapsed time =    419.10 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   2962.49 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   3003.02 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   2725.10 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   4641.08 microseconds
NUMN =  16384 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   2511.78 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  4759 =  29.05% , Elapsed time =    654.13 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors = 10898 =  66.52% , Elapsed time = 1945234.73 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors = 16148 =  98.56% , Elapsed time = 4008550.11 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  2693 =  16.44% , Elapsed time =    302.27 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  4763 =  29.07% , Elapsed time =    701.18 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  4966 =  30.31% , Elapsed time =    825.45 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  4715 =  28.78% , Elapsed time =    633.06 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5518 =  33.68% , Elapsed time =    812.21 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  5509 =  33.62% , Elapsed time =    887.81 microseconds
NUMN =  16384 , USE_MUTEX = false , NumPopErrors =  4135 =  25.24% , Elapsed time = 495773.76 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =  17114.62 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   8159.64 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   7207.97 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   3823.97 microseconds
NUMN =  32768 , USE_MUTEX =  true , NumPopErrors =     0 =   0.00% , Elapsed time =   9823.50 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  4696 =  14.33% , Elapsed time =    532.61 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 22036 =  67.25% , Elapsed time = 3880320.63 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 13968 =  42.63% , Elapsed time =   1936.90 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 11029 =  33.66% , Elapsed time =   3046.25 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 15575 =  47.53% , Elapsed time =   3460.72 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors =  9664 =  29.49% , Elapsed time =   1094.22 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 11145 =  34.01% , Elapsed time =   1814.55 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 15368 =  46.90% , Elapsed time =   3378.74 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 15075 =  46.01% , Elapsed time = 2127116.13 microseconds
NUMN =  32768 , USE_MUTEX = false , NumPopErrors = 10499 =  32.04% , Elapsed time =   1472.36 microseconds
